,rootname,opt_elem,cenwave,segment,fppos,life_adj,proposid,targname,date-obs,exptime,file_path
0,lbb916lhq,G160M,1623,FUVB,3,1,11897,WD1057+719,2009-09-08,460.032,/grp/hst/cos2/cosmo/11897/lbb916lhq_x1d.fits.gz
1,lbb916lhq,G160M,1623,FUVA,3,1,11897,WD1057+719,2009-09-08,460.032,/grp/hst/cos2/cosmo/11897/lbb916lhq_x1d.fits.gz
2,lbb916ldq,G160M,1577,FUVA,3,1,11897,WD1057+719,2009-09-08,330.016,/grp/hst/cos2/cosmo/11897/lbb916ldq_x1d.fits.gz
3,lbb916ldq,G160M,1577,FUVB,3,1,11897,WD1057+719,2009-09-08,330.016,/grp/hst/cos2/cosmo/11897/lbb916ldq_x1d.fits.gz
4,lbb901jwq,G140L,1105,FUVA,3,1,11897,WD0947+857,2009-09-15,200.0,/grp/hst/cos2/cosmo/11897/lbb901jwq_x1d.fits.gz
5,lbb901jyq,G140L,1280,FUVA,3,1,11897,WD0947+857,2009-09-15,160.032,/grp/hst/cos2/cosmo/11897/lbb901jyq_x1d.fits.gz
6,lbb901jyq,G140L,1280,FUVB,3,1,11897,WD0947+857,2009-09-15,160.032,/grp/hst/cos2/cosmo/11897/lbb901jyq_x1d.fits.gz
7,lbb901k6q,G130M,1327,FUVA,3,1,11897,WD0947+857,2009-09-15,420.0,/grp/hst/cos2/cosmo/11897/lbb901k6q_x1d.fits.gz
8,lbb901k2q,G130M,1291,FUVA,3,1,11897,WD0947+857,2009-09-15,310.016,/grp/hst/cos2/cosmo/11897/lbb901k2q_x1d.fits.gz
9,lbb901k6q,G130M,1327,FUVB,3,1,11897,WD0947+857,2009-09-15,420.0,/grp/hst/cos2/cosmo/11897/lbb901k6q_x1d.fits.gz
10,lbb901k2q,G130M,1291,FUVB,3,1,11897,WD0947+857,2009-09-15,310.016,/grp/hst/cos2/cosmo/11897/lbb901k2q_x1d.fits.gz
11,lbb903mdq,G140L,1280,FUVB,3,1,11897,WD0947+857,2009-09-29,160.032,/grp/hst/cos2/cosmo/11897/lbb903mdq_x1d.fits.gz
12,lbb903mdq,G140L,1280,FUVA,3,1,11897,WD0947+857,2009-09-29,160.032,/grp/hst/cos2/cosmo/11897/lbb903mdq_x1d.fits.gz
13,lbb903lmq,G140L,1105,FUVA,3,1,11897,WD0947+857,2009-09-29,200.032,/grp/hst/cos2/cosmo/11897/lbb903lmq_x1d.fits.gz
14,lbb904d3q,G140L,1105,FUVA,3,1,11897,WD0947+857,2009-11-02,200.032,/grp/hst/cos2/cosmo/11897/lbb904d3q_x1d.fits.gz
15,lbb904d5q,G140L,1280,FUVA,3,1,11897,WD0947+857,2009-11-02,160.0,/grp/hst/cos2/cosmo/11897/lbb904d5q_x1d.fits.gz
16,lbb904d5q,G140L,1280,FUVB,3,1,11897,WD0947+857,2009-11-02,160.0,/grp/hst/cos2/cosmo/11897/lbb904d5q_x1d.fits.gz
17,lbb917kdq,G160M,1623,FUVB,3,1,11897,WD1057+719,2009-11-13,460.0,/grp/hst/cos2/cosmo/11897/lbb917kdq_x1d.fits.gz
18,lbb917kdq,G160M,1623,FUVA,3,1,11897,WD1057+719,2009-11-13,460.0,/grp/hst/cos2/cosmo/11897/lbb917kdq_x1d.fits.gz
19,lbb917k9q,G160M,1577,FUVB,3,1,11897,WD1057+719,2009-11-13,330.048,/grp/hst/cos2/cosmo/11897/lbb917k9q_x1d.fits.gz
20,lbb917k9q,G160M,1577,FUVA,3,1,11897,WD1057+719,2009-11-13,330.048,/grp/hst/cos2/cosmo/11897/lbb917k9q_x1d.fits.gz
21,lbb905jjq,G140L,1105,FUVA,3,1,11897,WD0947+857,2009-12-01,200.032,/grp/hst/cos2/cosmo/11897/lbb905jjq_x1d.fits.gz
22,lbb905jvq,G130M,1327,FUVB,3,1,11897,WD0947+857,2009-12-01,420.032,/grp/hst/cos2/cosmo/11897/lbb905jvq_x1d.fits.gz
23,lbb905jvq,G130M,1327,FUVA,3,1,11897,WD0947+857,2009-12-01,420.032,/grp/hst/cos2/cosmo/11897/lbb905jvq_x1d.fits.gz
24,lbb905jtq,G130M,1291,FUVA,3,1,11897,WD0947+857,2009-12-01,310.016,/grp/hst/cos2/cosmo/11897/lbb905jtq_x1d.fits.gz
25,lbb905jtq,G130M,1291,FUVB,3,1,11897,WD0947+857,2009-12-01,310.016,/grp/hst/cos2/cosmo/11897/lbb905jtq_x1d.fits.gz
26,lbb905jlq,G140L,1280,FUVA,3,1,11897,WD0947+857,2009-12-01,160.0,/grp/hst/cos2/cosmo/11897/lbb905jlq_x1d.fits.gz
27,lbb905jlq,G140L,1280,FUVB,3,1,11897,WD0947+857,2009-12-01,160.0,/grp/hst/cos2/cosmo/11897/lbb905jlq_x1d.fits.gz
28,lbb906axq,G140L,1105,FUVA,3,1,11897,WD0947+857,2010-01-04,200.032,/grp/hst/cos2/cosmo/11897/lbb906axq_x1d.fits.gz
