,rootname,PID,exptime,grating,cenwave,segment,fppos,lp,date-obs,targname,length_wl
0,lf205dmlq,17249,12.0,G160M,1533,FUVB,3,6,2023-05-31,WAVE,1
1,lce823m7q,13520,139.872,G130M,1096,FUVA,3,2,2014-02-18,WAVE,1
2,lbxm02cyq,12806,190.016,G160M,1611,BOTH,4,2,2012-08-20,WD1057+719,2
3,lf4g04bmq,17326,11.936,G160M,1611,FUVA,3,6,2024-02-19,WAVE,1
4,lf4g04b8q,17326,159.77599999999998,G130M,1096,FUVA,3,2,2024-02-19,WAVE,1
5,lefe06eqq,16324,159.872,G130M,1096,FUVA,3,2,2021-04-10,WAVE,1
6,ldcv09kaq,14854,139.936,G130M,1096,FUVA,3,2,2017-04-04,WAVE,1
7,lbxm1bvmq,12806,190.048,G130M,1318,BOTH,4,2,2012-08-17,WD0308-565,2
8,lefe02khq,16324,159.936,G130M,1096,FUVA,3,2,2020-12-26,WAVE,1
9,lf205dmzq,17249,11.968,G160M,1611,BOTH,3,6,2023-06-01,WAVE,2
10,lf201bhuq,17249,12.0,G160M,1611,BOTH,3,6,2022-12-20,WAVE,2
11,lf2004iuq,17249,11.968,G160M,1623,FUVA,3,6,2023-02-16,WAVE,1
12,lefe04orq,16324,159.776,G130M,1096,FUVA,3,2,2021-02-18,WAVE,1
13,ldcv03g2q,14854,139.968,G130M,1096,FUVA,3,2,2016-12-26,WAVE,1
14,lf4g3bgkq,17326,11.968,G160M,1623,FUVB,3,6,2024-02-04,WAVE,1
15,lbxm03g8q,12806,92.032,G160M,1611,FUVA,2,2,2012-08-19,GD71,1
16,ld0y15jaq,14435,139.872,G130M,1096,FUVA,3,2,2016-04-20,WAVE,1
17,ler111hsq,16830,11.936,G160M,1577,FUVA,3,6,2022-10-16,WAVE,1
18,ler112ewq,16830,11.968,G160M,1623,FUVB,3,6,2022-09-26,WAVE,1
19,ld0y13d1q,14435,139.904,G130M,1096,FUVA,3,2,2016-01-01,WAVE,1
20,lf2004iqq,17249,11.968,G160M,1611,FUVA,3,6,2023-02-16,WAVE,1
21,lbxm03gcq,12806,92.0,G160M,1611,FUVA,4,2,2012-08-19,GD71,1
22,ldv009avq,15535,139.904,G130M,1096,FUVA,3,2,2019-08-24,WAVE,1
23,lf205dmnq,17249,11.968,G160M,1577,FUVB,3,6,2023-05-31,WAVE,1
24,ldcv18myq,14854,139.936,G130M,1096,FUVA,3,2,2017-08-23,WAVE,1
25,lce821g2q,13520,139.936,G130M,1096,FUVA,3,2,2013-12-24,WAVE,1
26,lf205dmrq,17249,11.968,G160M,1577,FUVB,3,6,2023-05-31,WAVE,1
27,ler156goq,16830,11.936,G160M,1611,FUVA,3,6,2022-04-16,WAVE,1
28,lf201bhnq,17249,11.968,G160M,1533,BOTH,3,6,2022-12-20,WAVE,2
29,lce899fnq,13520,139.936,G130M,1096,FUVA,3,2,2014-08-18,WAVE,1
30,lbxm03fwq,12806,80.0,G160M,1589,FUVA,4,2,2012-08-19,GD71,1
31,lbxm02cgq,12806,190.016,G160M,1589,BOTH,4,2,2012-08-20,WD1057+719,2
32,lbxm1bv3q,12806,190.016,G130M,1300,BOTH,2,2,2012-08-17,WD0308-565,2
33,lcqz26c2q,13967,139.872,G130M,1096,FUVA,3,2,2015-04-13,WAVE,1
34,lc3y08m1q,13119,139.968,G130M,1096,FUVA,3,2,2013-09-15,WAVE,1
35,ler156gsq,16830,11.968,G160M,1623,FUVA,3,6,2022-04-16,WAVE,1
36,lf4g3bg4q,17326,12.0,G160M,1577,FUVB,3,6,2024-02-04,WAVE,1
37,lf4g04bhq,17326,11.904,G160M,1577,FUVA,3,6,2024-02-19,WAVE,1
38,lce825c3q,13520,139.936,G130M,1096,FUVA,3,2,2014-04-21,WAVE,1
39,lf2002dmq,17249,11.968,G160M,1533,FUVA,3,6,2022-12-10,WAVE,1
40,ler112e8q,16830,12.0,G160M,1577,FUVB,3,6,2022-09-26,WAVE,1
